source_case,eyelid_thickness_mm,cornea_thickness_mm,indentation_mm,actual_indentation_mm,displacement_error_um,probe_force_n,probe_equivalent_pressure_kpa,probe_equivalent_pressure_mmhg,tangent_stiffness_n_per_mm,result_time
eyelid_0p80mm,0.8,0.6,0.425,0.425,0.0,0.24815545656132,16.93037018473945,126.98857041403105,0.683727066279667,1.5588235294118
eyelid_0p80mm,0.8,0.6,0.45,0.45,0.0,0.26551745186402,18.114889806808627,135.87322277500058,0.7031617308561998,1.5882352941176
eyelid_0p80mm,0.8,0.6,0.475,0.47500000000000003,5.551115123125783e-14,0.28287944716673,19.299409428878484,144.75787513597518,0.7253301253291999,1.6176470588235
eyelid_0p80mm,0.8,0.6,0.5,0.5,0.0,0.30154373028163,20.572777448855735,154.30894712692378,0.752303076779266,1.6470588235294
eyelid_0p80mm,0.8,0.6,0.525,0.5249999999999999,-1.1102230246251565e-13,0.32092869694309,21.89531399971434,164.22881444708557,0.7722447787150664,1.6764705882353
eyelid_0p80mm,0.8,0.6,0.55,0.5499999999999999,-1.1102230246251565e-13,0.34031366360455,23.217850550572948,174.14868176724733,0.785471981269334,1.7058823529412
eyelid_0p80mm,0.8,0.6,0.575,0.575,0.0,0.35994623065107,24.55727960194328,184.19525361113153,0.799015933956201,1.7352941176471
eyelid_0p80mm,0.8,0.6,0.6,0.6,0.0,0.38034699376405,25.949118719003277,194.63493436194534,0.8109092174093343,1.7647058823529
eyelid_0p80mm,0.8,0.6,0.625,0.625,0.0,0.40074775687702,27.340957836062596,205.07461511275406,0.8107743761645326,1.7941176470588
eyelid_0p80mm,0.8,0.6,0.65,0.6499999999999999,-1.1102230246251565e-13,0.42114851999,28.732796953122598,215.51429586356787,0.7992887186491319,1.8235294117647
eyelid_0p80mm,0.8,0.6,0.675,0.6749999999999999,-1.1102230246251565e-13,0.4407608608498,30.070846075825067,225.5505173626638,0.7868297003273329,1.8529411764706
eyelid_0p80mm,0.8,0.6,0.7,0.7,0.0,0.46022719758864,31.398934088461278,235.51202418551537,0.7772497234472671,1.8823529411765
