source_case,eyelid_thickness_mm,cornea_thickness_mm,indentation_mm,actual_indentation_mm,displacement_error_um,probe_force_n,probe_equivalent_pressure_kpa,probe_equivalent_pressure_mmhg,tangent_stiffness_n_per_mm,result_time
eyelid_1p00mm,1.0,0.6,0.45,0.45,0.0,0.36352637478677,24.80153441854912,186.02732046135762,1.0212809011175334,1.5882352941176
eyelid_1p00mm,1.0,0.6,0.475,0.47500000000000003,5.551115123125783e-14,0.39021397832621,26.622292315745042,199.6841655221572,1.0528351223447334,1.6176470588235
eyelid_1p00mm,1.0,0.6,0.5,0.5,0.0,0.41690158186564,28.44305021294028,213.34101058295164,1.0780490702206653,1.6470588235294
eyelid_1p00mm,1.0,0.6,0.525,0.5249999999999999,-1.1102230246251565e-13,0.44358918540508,30.263808110136196,226.9978556437512,1.1030144141025326,1.6764705882353
eyelid_1p00mm,1.0,0.6,0.55,0.5499999999999999,-1.1102230246251565e-13,0.471858528241,32.19247994239619,241.464124018513,1.131855244579801,1.7058823529412
eyelid_1p00mm,1.0,0.6,0.575,0.575,0.0,0.50070919406623,34.160812451645924,256.2278727565287,1.1480136257991345,1.7352941176471
eyelid_1p00mm,1.0,0.6,0.6,0.6,0.0,0.52955985989146,36.12914496089566,270.99162149454446,1.143298699358467,1.7647058823529
eyelid_1p00mm,1.0,0.6,0.625,0.625,0.0,0.55808989762449,38.07560266486085,285.59129524655236,1.1303929145156655,1.7941176470588
eyelid_1p00mm,1.0,0.6,0.65,0.6499999999999999,-1.1102230246251565e-13,0.58597262958651,39.97789802608422,299.85972327210976,1.1196246502875327,1.8235294117647
eyelid_1p00mm,1.0,0.6,0.675,0.6749999999999999,-1.1102230246251565e-13,0.61385536154853,41.880193387307585,314.12815129766716,1.1142384339796678,1.8529411764706
eyelid_1p00mm,1.0,0.6,0.7,0.7,0.0,0.64173809351055,43.782488748530945,328.39657932322456,1.1120176893430682,1.8823529411765
eyelid_1p00mm,1.0,0.6,0.725,0.725,0.0,0.6694601987974,45.6738253780389,342.58280987413104,1.0986036200251335,1.9117647058824
eyelid_1p00mm,1.0,0.6,0.75,0.75,0.0,0.6971704457391,47.56435297366159,356.7629721550951,1.0747504725706651,1.9411764705882
eyelid_1p00mm,1.0,0.6,0.775,0.7749999999999999,-1.1102230246251565e-13,0.72321355232375,49.34114015919663,370.0900088447265,1.0516515716609987,1.9705882352941
eyelid_1p00mm,1.0,0.6,0.8,0.7999999999999999,-1.1102230246251565e-13,0.7491973108698,51.11387833336936,383.38667536767645,1.0393503418420016,2.0
eyelid_1p20mm,1.2,0.6,0.0,0.0,0.0,0.017403877807404,1.1873770499038425,8.906084891494597,0.53075493413356,1.0588235294118
eyelid_1p20mm,1.2,0.6,0.025,0.024999999999999994,-6.938893903907228e-15,0.030672751160743,2.0926440181155344,15.696164309832843,0.5852862849131266,1.0882352941176
eyelid_1p20mm,1.2,0.6,0.05,0.05,0.0,0.046561621168151,3.176659879665407,23.82697439031373,0.6412969264271733,1.1176470588235
eyelid_1p20mm,1.2,0.6,0.075,0.075,0.0,0.062770203830287,4.282488090910493,32.1213910000637,0.6966554409775467,1.1470588235294
eyelid_1p20mm,1.2,0.6,0.1,0.09999999999999999,-1.3877787807814457e-14,0.081500964101936,5.560391505306167,41.706481340710205,0.7374014907610134,1.1764705882353
eyelid_1p20mm,1.2,0.6,0.125,0.12499999999999999,-1.3877787807814457e-14,0.10023172437359,6.838294919702184,51.2915716813593,0.7796553379287134,1.2058823529412
eyelid_1p20mm,1.2,0.6,0.15,0.15000000000000002,2.7755575615628914e-14,0.119710324239,8.167219582377564,61.25935391291433,0.8205628028870271,1.2352941176471
eyelid_1p20mm,1.2,0.6,0.175,0.175,0.0,0.14150914438253,9.65444093843637,72.41446226756551,0.8564846705535334,1.2647058823529
eyelid_1p20mm,1.2,0.6,0.2,0.2,0.0,0.16330796452605,11.141662294494491,83.56957062221157,0.8889434370048666,1.2941176470588
eyelid_1p20mm,1.2,0.6,0.225,0.22500000000000003,2.7755575615628914e-14,0.18510678466957,12.628883650552615,94.72467897685763,0.9260711127298662,1.3235294117647
eyelid_1p20mm,1.2,0.6,0.25,0.25,0.0,0.20945419950269,14.289982511235047,107.18397947251802,0.9663452016520002,1.3529411764706
eyelid_1p20mm,1.2,0.6,0.275,0.275,0.0,0.23427357631537,15.983280909811173,119.88479703133144,0.9979773888502669,1.3823529411765
eyelid_1p20mm,1.2,0.6,0.3,0.3,0.0,0.25909295312805,17.676579308387304,132.58561459014493,1.0282865699877342,1.4117647058824
eyelid_1p20mm,1.2,0.6,0.325,0.325,0.0,0.28516463937175,19.45531633703349,145.9272763462406,1.0659146467882663,1.4411764705882
eyelid_1p20mm,1.2,0.6,0.35,0.35000000000000003,5.551115123125783e-14,0.31280612194447,21.34115249351363,160.07224984258883,1.096061613885466,1.4705882352941
eyelid_1p20mm,1.2,0.6,0.375,0.375,0.0,0.34044760451719,23.226988649993768,174.21722333893706,1.1272258531379329,1.5
eyelid_1p20mm,1.2,0.6,0.4,0.4,0.0,0.36821923006543,25.121703792183222,188.42879488893973,1.1668884742489336,1.5294117647059
eyelid_1p20mm,1.2,0.6,0.425,0.425,0.0,0.39883540922148,27.210488193448832,204.09600961168323,1.2056834755231345,1.5588235294118
eyelid_1p20mm,1.2,0.6,0.45,0.45,0.0,0.42945158837752,29.29927259471376,219.7632243344216,1.2379248958206663,1.5882352941176
eyelid_1p20mm,1.2,0.6,0.475,0.47500000000000003,5.551115123125783e-14,0.46006776753357,31.388056995979365,235.4304390571651,1.2718282247453327,1.6176470588235
eyelid_1p20mm,1.2,0.6,0.5,0.5,0.0,0.49267560612644,33.61272207468218,252.11684549198318,1.313079423436998,1.6470588235294
eyelid_1p20mm,1.2,0.6,0.525,0.5249999999999999,-1.1102230246251565e-13,0.52638562518436,35.91258325643371,269.36727064125733,1.3416458128103312,1.6764705882353
eyelid_1p20mm,1.2,0.6,0.55,0.5499999999999999,-1.1102230246251565e-13,0.56009564424228,38.21244443818524,286.61769579053146,1.3520190962143996,1.7058823529412
eyelid_1p20mm,1.2,0.6,0.575,0.575,0.0,0.59389460133928,40.51837340480837,303.91363319488437,1.356884082967467,1.7352941176471
eyelid_1p20mm,1.2,0.6,0.6,0.6,0.0,0.62796949440368,42.84312806295609,321.35077528807017,1.3611561494600004,1.7647058823529
eyelid_1p20mm,1.2,0.6,0.625,0.625,0.0,0.66204438746808,45.167882721103815,338.787917381256,1.3556582479216648,1.7941176470588
eyelid_1p20mm,1.2,0.6,0.65,0.6499999999999999,-1.1102230246251565e-13,0.69611928053248,47.49263737925153,356.2250594744418,1.3396245070103974,1.8235294117647
eyelid_1p20mm,1.2,0.6,0.675,0.6749999999999999,-1.1102230246251565e-13,0.72909355239873,49.7423023151096,373.098980776688,1.3222319744964672,1.8529411764706
eyelid_1p20mm,1.2,0.6,0.7,0.7,0.0,0.76186400552459,51.97806174684051,389.8686019324681,1.3098683235905342,1.8823529411765
eyelid_1p20mm,1.2,0.6,0.725,0.725,0.0,0.79463445865044,54.21382117857075,406.6382230882431,1.3009984757386004,1.9117647058824
eyelid_1p20mm,1.2,0.6,0.75,0.75,0.0,0.82705862281935,56.42595509622556,423.2306378259069,1.2905935493327316,1.9411764705882
eyelid_1p20mm,1.2,0.6,0.775,0.7749999999999999,-1.1102230246251565e-13,0.85904870646476,58.60847393285544,439.60092057466466,1.282497215973265,1.9705882352941
eyelid_1p20mm,1.2,0.6,0.8,0.7999999999999999,-1.1102230246251565e-13,0.89103879011018,60.790992769486,455.9712033234275,1.2796033458167988,2.0
eyelid_1p40mm,1.4,0.6,0.0,0.0,0.0,0.015908594836132,1.0853615851408642,8.14090386538504,0.5662085155069599,1.0588235294118
eyelid_1p40mm,1.4,0.6,0.025,0.024999999999999994,-6.938893903907228e-15,0.030063807723806,2.0510989400754576,15.3845497372936,0.63812854288154,1.0882352941176
eyelid_1p40mm,1.4,0.6,0.05,0.05,0.0,0.047673877189787,3.252543386107063,24.39614906847379,0.7121086002535533,1.1176470588235
eyelid_1p40mm,1.4,0.6,0.075,0.075,0.0,0.065707381027034,4.482876580964968,33.624432433994144,0.78532579181456,1.1470588235294
eyelid_1p40mm,1.4,0.6,0.1,0.09999999999999999,-1.3877787807814457e-14,0.087081311570937,5.941109905452711,44.56211207042132,0.8389557387851266,1.1764705882353
eyelid_1p40mm,1.4,0.6,0.125,0.12499999999999999,-1.3877787807814457e-14,0.10845524211484,7.399343229940454,55.499791706848484,0.8932082669047268,1.2058823529412
eyelid_1p40mm,1.4,0.6,0.15,0.15000000000000002,2.7755575615628914e-14,0.13076937691975,8.92172185434903,66.91860198878678,0.9446382435750869,1.2352941176471
eyelid_1p40mm,1.4,0.6,0.175,0.175,0.0,0.15600055571393,10.643115383639651,79.8301509401273,0.9898001918387334,1.2647058823529
eyelid_1p40mm,1.4,0.6,0.2,0.2,0.0,0.18123173450811,12.364508912930269,92.74169989146779,1.0297341266288664,1.2941176470588
eyelid_1p40mm,1.4,0.6,0.225,0.22500000000000003,2.7755575615628914e-14,0.20646291330229,14.085902442220886,105.65324884280828,1.074501960585733,1.3235294117647
eyelid_1p40mm,1.4,0.6,0.25,0.25,0.0,0.23476713832572,16.016954106685994,120.13736747638043,1.1230636787762003,1.3529411764706
eyelid_1p40mm,1.4,0.6,0.275,0.275,0.0,0.26364044598418,17.98683135173786,134.91270271776494,1.1621331390839331,1.3823529411765
eyelid_1p40mm,1.4,0.6,0.3,0.3,0.0,0.29251375364265,19.956708596790403,149.68803795915454,1.201698567291134,1.4117647058824
eyelid_1p40mm,1.4,0.6,0.325,0.325,0.0,0.32303626884795,22.039102788543246,165.30732203644743,1.2512522212805335,1.4411764705882
eyelid_1p40mm,1.4,0.6,0.35,0.35000000000000003,5.551115123125783e-14,0.35562610055562,24.262539350103886,181.98451380945295,1.2908820441306665,1.4705882352941
eyelid_1p40mm,1.4,0.6,0.375,0.375,0.0,0.38821593226329,26.48597591166453,198.66170558245847,1.3302124306068663,1.5
eyelid_1p40mm,1.4,0.6,0.4,0.4,0.0,0.42096639684691,28.720371627987905,215.42109800323956,1.3791672118482667,1.5294117647059
eyelid_1p40mm,1.4,0.6,0.425,0.425,0.0,0.45722783714769,31.194303155551694,233.97716172538435,1.4270511072500014,1.5588235294118
eyelid_1p40mm,1.4,0.6,0.45,0.45,0.0,0.49348927744846,33.6682346831148,252.533225447524,1.4640550617851997,1.5882352941176
eyelid_1p40mm,1.4,0.6,0.475,0.47500000000000003,5.551115123125783e-14,0.52975071774924,36.14216621067858,271.08928916966875,1.4987747635847992,1.6176470588235
eyelid_1p40mm,1.4,0.6,0.5,0.5,0.0,0.56805177551314,38.75525034509769,290.68908616055637,1.541019267675665,1.6470588235294
eyelid_1p40mm,1.4,0.6,0.525,0.5249999999999999,-1.1102230246251565e-13,0.60748155362073,41.44534126195278,310.86648311571065,1.5689404001550658,1.6764705882353
eyelid_1p40mm,1.4,0.6,0.55,0.5499999999999999,-1.1102230246251565e-13,0.64691133172832,44.135432178807875,331.0438800708651,1.572761139636268,1.7058823529412
eyelid_1p40mm,1.4,0.6,0.575,0.575,0.0,0.68623222155732,46.81809420858204,351.16555563659443,1.566804857730668,1.7352941176471
eyelid_1p40mm,1.4,0.6,0.6,0.6,0.0,0.72521527852199,49.47770763997785,371.1143520197556,1.5615744976823338,1.7647058823529
eyelid_1p40mm,1.4,0.6,0.625,0.625,0.0,0.76419833548666,52.13732107137368,391.0631484029168,1.556449827978465,1.7941176470588
eyelid_1p40mm,1.4,0.6,0.65,0.6499999999999999,-1.1102230246251565e-13,0.80318139245133,54.796934502769496,411.011944786078,1.5501729914638642,1.8235294117647
eyelid_1p40mm,1.4,0.6,0.675,0.6749999999999999,-1.1102230246251565e-13,0.84173358182475,57.427152054979125,430.7402533338768,1.5433642196514008,1.8529411764706
eyelid_1p40mm,1.4,0.6,0.7,0.7,0.0,0.88020598090348,60.05192592585703,450.42773080104575,1.5367650156178005,1.8823529411765
eyelid_1p40mm,1.4,0.6,0.725,0.725,0.0,0.91867837998222,62.67669979673561,470.1152082682199,1.527569334776134,1.9117647058824
eyelid_1p40mm,1.4,0.6,0.75,0.75,0.0,0.95675134663653,65.27422244814436,489.59828421524094,1.515567609347465,1.9411764705882
