case,eyelid_thickness_mm,annulus_inner_probe_radius,annulus_outer_probe_radius,sigma_factor,baseline_pa,noise_pa,threshold_pa,inner_pressure_support_area_mm2,inner_pressure_participation_area_mm2,outer_contact_area_mm2,outer_geometric_coverage_area_mm2,outer_conservative_area_mm2,outer_displacement_clipped_area_mm2,outer_boundary_uncertainty_area_mm2,outer_boundary_faces,ae_over_ac_contact_diagnostic,ae_over_ac_hybrid,incremental_force_n,centroid_x_mm,centroid_z_mm,selected_faces,status
eyelid_1p25mm_effective_indent_0p28mm,1.25,1.2,1.6,2.0,400.54260467255017,261.3007422797995,522.601484559599,7.349964036909783,5.259746546398483,5.7471215927545,14.65741468458854,12.943976304829622,14.657464310220341,1.7134880053907189,143,1.0926613178138285,2.4609505782541516,0.03253391815860168,-0.027678890018961483,-0.0006362306720379586,424,candidate_not_approved
eyelid_1p25mm_effective_indent_0p28mm,1.25,1.2,1.6,3.0,400.54260467255017,261.3007422797995,783.9022268393985,6.976325303825711,5.187853876171895,5.7471215927545,14.65741468458854,12.943976304829622,14.657464310220341,1.7134880053907189,143,1.1078032901333927,2.495054142577538,0.03229874798512408,-0.028065715933938938,-0.00038696962680287954,403,candidate_not_approved
eyelid_1p25mm_effective_indent_0p28mm,1.25,1.2,1.6,4.0,400.54260467255017,261.3007422797995,1045.202969119198,6.450491549599632,5.046367900831394,5.7471215927545,14.65741468458854,12.943976304829622,14.657464310220341,1.7134880053907189,143,1.1388629813945303,2.565008449482466,0.031820588982964096,-0.02949885798763477,0.0013908699621539267,380,candidate_not_approved
eyelid_1p25mm_effective_indent_0p28mm,1.25,1.3,1.7,2.0,567.6454530541499,214.49508245527042,428.99016491054084,7.208969702270994,5.125567418145461,5.7471215927545,14.65741468458854,12.943976304829622,14.657464310220341,1.7134880053907189,143,1.1212654373462383,2.5253743144623444,0.03125170732954953,-0.028223022166959422,8.39565858350229e-05,415,candidate_not_approved
eyelid_1p25mm_effective_indent_0p28mm,1.25,1.3,1.7,3.0,567.6454530541499,214.49508245527042,643.4852473658112,6.921439575334308,5.077589498403196,5.7471215927545,14.65741468458854,12.943976304829622,14.657464310220341,1.7134880053907189,143,1.131860225124906,2.5492364652361625,0.031098305017031896,-0.03021343601510237,-0.001107965214633843,401,candidate_not_approved
eyelid_1p25mm_effective_indent_0p28mm,1.25,1.3,1.7,4.0,567.6454530541499,214.49508245527042,857.9803298210817,6.450491549599632,4.969186929886834,5.7471215927545,14.65741468458854,12.943976304829622,14.657464310220341,1.7134880053907189,143,1.1565517002769268,2.6048479333669188,0.030742693471564577,-0.02990560645297663,0.0012216200026090155,380,candidate_not_approved
eyelid_1p40mm_effective_indent_0p28mm,1.4,1.1,1.5,2.0,206.16161232545005,317.2475978048965,634.495195609793,7.881198767225284,5.678100712735428,6.0079842837038,14.65741468458854,13.137146216170427,14.657243158807123,1.5200969426366964,143,1.058097520219829,2.3136514973581015,0.032429054143969745,-0.02627399334280212,-0.0008522986945127669,451,candidate_not_approved
eyelid_1p40mm_effective_indent_0p28mm,1.4,1.1,1.5,3.0,206.16161232545005,317.2475978048965,951.7427934146895,7.138072791518767,5.493383492374113,6.0079842837038,14.65741468458854,13.137146216170427,14.657243158807123,1.5200969426366964,143,1.0936764731688684,2.3914489557132406,0.03185886646706594,-0.027760138518294012,-0.0002824021431959523,411,candidate_not_approved
eyelid_1p40mm_effective_indent_0p28mm,1.4,1.1,1.5,4.0,206.16161232545005,317.2475978048965,1268.990391219586,6.562960919243651,5.291934107538294,6.0079842837038,14.65741468458854,13.137146216170427,14.657243158807123,1.5200969426366964,143,1.1353097301694481,2.482484843765671,0.031206202556415177,-0.03157246145169597,0.0005666428165765623,385,candidate_not_approved
eyelid_1p40mm_effective_indent_0p28mm,1.4,1.2,1.6,2.0,389.16270728309996,274.39870518889165,548.7974103777833,7.506287775330201,5.467943504249579,6.0079842837038,14.65741468458854,13.137146216170427,14.657243158807123,1.5200969426366964,143,1.0987648791606044,2.402575338600425,0.03080202433730674,-0.028312434370914887,0.0006520007775067757,432,candidate_not_approved
eyelid_1p40mm_effective_indent_0p28mm,1.4,1.2,1.6,3.0,389.16270728309996,274.39870518889165,823.196115566675,7.115986586643644,5.37921777294064,6.0079842837038,14.65741468458854,13.137146216170427,14.657243158807123,1.5200969426366964,143,1.1168880936418075,2.442203824179586,0.030534883547803225,-0.02770014437359858,-0.0005425139207258726,410,candidate_not_approved
eyelid_1p40mm_effective_indent_0p28mm,1.4,1.2,1.6,4.0,389.16270728309996,274.39870518889165,1097.5948207555666,6.516669796924845,5.193658414052279,6.0079842837038,14.65741468458854,13.137146216170427,14.657243158807123,1.5200969426366964,143,1.1567923426477629,2.52945903808879,0.029954583658701617,-0.030199898506527316,0.0010115979127180877,383,candidate_not_approved
eyelid_1p40mm_effective_indent_0p28mm,1.4,1.3,1.7,2.0,570.1240189116501,244.1179635564208,488.2359271128416,7.378052488414746,5.311621174548103,6.0079842837038,14.65741468458854,13.137146216170427,14.657243158807123,1.5200969426366964,143,1.1311018023070785,2.473283727220644,0.02938705570866261,-0.029571922726421562,0.00032324364181086815,425,candidate_not_approved
eyelid_1p40mm_effective_indent_0p28mm,1.4,1.3,1.7,3.0,570.1240189116501,244.1179635564208,732.3538906692623,6.966385605753574,5.229625311016295,6.0079842837038,14.65741468458854,13.137146216170427,14.657243158807123,1.5200969426366964,143,1.1488364703773097,2.512062611540602,0.029146540145518228,-0.02990768863035856,-0.0002592102839897453,402,candidate_not_approved
eyelid_1p40mm_effective_indent_0p28mm,1.4,1.3,1.7,4.0,570.1240189116501,244.1179635564208,976.4718542256832,6.46484458584504,5.09117691725428,6.0079842837038,14.65741468458854,13.137146216170427,14.657243158807123,1.5200969426366964,143,1.1800776876054748,2.580375113590713,0.028726870781535265,-0.029726950996807555,0.0009593765201266465,380,candidate_not_approved
eyelid_1p50mm_effective_indent_0p28mm,1.5,1.1,1.5,2.0,197.75127955710002,315.801468031218,631.602936062436,8.166641968805973,5.877335161461504,6.0534971264567,14.65741468458854,13.166005279019537,14.657082845185432,1.4910775661658953,146,1.0299731017809421,2.2401317803603997,0.031386360044706796,-0.026285223102016857,-0.0004309818795406026,466,candidate_not_approved
eyelid_1p50mm_effective_indent_0p28mm,1.5,1.1,1.5,3.0,197.75127955710002,315.801468031218,947.404404093654,7.337862788992443,5.65560524570391,6.0534971264567,14.65741468458854,13.166005279019537,14.657082845185432,1.4910775661658953,146,1.070353545459177,2.3279569041740755,0.030742038635261593,-0.028953675883684707,-0.0007147471398310341,423,candidate_not_approved
eyelid_1p50mm_effective_indent_0p28mm,1.5,1.1,1.5,4.0,197.75127955710002,315.801468031218,1263.205872124872,6.670662832096603,5.411690895028363,6.0534971264567,14.65741468458854,13.166005279019537,14.657082845185432,1.4910775661658953,146,1.1185962472501811,2.432881983543248,0.02999590223397384,-0.031374979776601024,7.860685927363723e-05,390,candidate_not_approved
eyelid_1p50mm_effective_indent_0p28mm,1.5,1.2,1.6,2.0,383.87174317485005,279.45218371674423,558.9043674334885,7.908391903924055,5.663218113726013,6.0534971264567,14.65741468458854,13.166005279019537,14.657082845185432,1.4910775661658953,146,1.0689147062488664,2.3248275123129947,0.029736903088110046,-0.02755142505915639,-0.0007212018780591243,451,candidate_not_approved
eyelid_1p50mm_effective_indent_0p28mm,1.5,1.2,1.6,3.0,383.87174317485005,279.45218371674423,838.3565511502327,7.115955187861303,5.473724645061185,6.0534971264567,14.65741468458854,13.166005279019537,14.657082845185432,1.4910775661658953,146,1.1059191901292718,2.405310119298551,0.029200523894718066,-0.030053746107589846,-0.00011450507875044555,410,candidate_not_approved
eyelid_1p50mm_effective_indent_0p28mm,1.5,1.2,1.6,4.0,383.87174317485005,279.45218371674423,1117.808734866977,6.670662832096603,5.323062227110074,6.0534971264567,14.65741468458854,13.166005279019537,14.657082845185432,1.4910775661658953,146,1.137220807907629,2.4733893231542114,0.028754355375026335,-0.03175903929874189,0.00010616104201746418,390,candidate_not_approved
eyelid_1p50mm_effective_indent_0p28mm,1.5,1.3,1.7,2.0,560.32004447345,261.318966877138,522.637933754276,7.4694686492226685,5.436514572918388,6.0534971264567,14.65741468458854,13.166005279019537,14.657082845185432,1.4910775661658953,146,1.113488623135817,2.4217731972254906,0.028155662503890785,-0.028978541768626263,0.00039039772758017293,430,candidate_not_approved
eyelid_1p50mm_effective_indent_0p28mm,1.5,1.3,1.7,3.0,560.32004447345,261.318966877138,783.956900631414,6.963222652193552,5.319261151329203,6.0534971264567,14.65741468458854,13.166005279019537,14.657082845185432,1.4910775661658953,146,1.1380334513081807,2.4751567754347894,0.027830093566572216,-0.030553308434264827,-0.0003055280444994574,402,candidate_not_approved
eyelid_1p50mm_effective_indent_0p28mm,1.5,1.3,1.7,4.0,560.32004447345,261.318966877138,1045.275867508552,6.433776090286614,5.151665000710433,6.0534971264567,14.65741468458854,13.166005279019537,14.657082845185432,1.4910775661658953,146,1.1750564381849171,2.5556796253645953,0.027346368060777098,-0.03175070210536493,0.00020979014179622245,378,candidate_not_approved
eyelid_1p60mm_effective_indent_0p28mm,1.6,1.1,1.5,2.0,211.7216474139999,313.90474867728256,627.8094973545651,8.360170380525101,6.09195564230689,6.3553254343572005,14.65741468458854,13.058885448767755,14.656893563470499,1.5980081147027434,142,1.043232388335411,2.143627796315116,0.030758525315860506,-0.026902428196988383,-0.0008788053953583808,474,candidate_not_approved
