case,eyelid_thickness_mm,annulus_inner_probe_radius,annulus_outer_probe_radius,sigma_factor,baseline_pa,noise_pa,threshold_pa,inner_pressure_support_area_mm2,inner_pressure_participation_area_mm2,outer_contact_area_mm2,ae_over_ac_pressure,incremental_force_n,centroid_x_mm,centroid_z_mm,selected_faces,status
eyelid_1p40mm_indent_0p28mm,1.4,1.2,1.6,2.0,472.50565592449993,332.79948020012745,665.5989604002549,8.396961280965344,6.138401675268291,7.3414286072548,1.1959837422880815,0.037885589958978234,-0.027109667047156928,-0.0011866328673845914,475,candidate_not_approved
eyelid_1p40mm_indent_0p28mm,1.4,1.2,1.6,3.0,472.50565592449993,332.79948020012745,998.3984406003824,7.720445964309878,5.96258299901273,7.3414286072548,1.231249713164643,0.037297713956815394,-0.028037372319786657,-0.000613599077482267,441,candidate_not_approved
eyelid_1p40mm_indent_0p28mm,1.4,1.2,1.6,4.0,472.50565592449993,332.79948020012745,1331.1979208005098,7.127584622068641,5.763291706629984,7.3414286072548,1.2738256158037875,0.03660489450597177,-0.030248199289570524,-0.00024589393073708995,410,candidate_not_approved
eyelid_1p40mm_indent_0p28mm,1.4,1.3,1.7,2.0,699.3122965495002,308.15547810052993,616.3109562010599,8.17047927981207,5.927064134352954,7.3414286072548,1.238628170851782,0.03586423114147328,-0.027985713082273073,-0.00014236949348407087,466,candidate_not_approved
eyelid_1p40mm_indent_0p28mm,1.4,1.3,1.7,3.0,699.3122965495002,308.15547810052993,924.4664343015897,7.439776453566085,5.757037280869196,7.3414286072548,1.2752094956290423,0.03531164362971963,-0.02969313926553763,0.0010994532687346994,428,candidate_not_approved
eyelid_1p40mm_indent_0p28mm,1.4,1.3,1.7,4.0,699.3122965495002,308.15547810052993,1232.6219124021197,6.992364996349923,5.61297598276996,7.3414286072548,1.3079387173204795,0.034823943242846725,-0.030444296433356503,3.935168544560391e-05,403,candidate_not_approved
eyelid_1p50mm_indent_0p28mm,1.5,1.1,1.5,2.0,247.58943684890028,351.10828713364737,702.2165742672947,8.613486703890057,6.4382086024603575,7.4821478999176,1.1621474795113507,0.03796875167483955,-0.027498934141988566,-0.0004211473055019445,486,candidate_not_approved
eyelid_1p50mm_indent_0p28mm,1.5,1.1,1.5,3.0,247.58943684890028,351.10828713364737,1053.3248614009422,8.310962208657454,6.356755283270072,7.4821478999176,1.1770388455269587,0.03770884407197998,-0.025698824790043824,-0.0007336887453281567,472,candidate_not_approved
eyelid_1p50mm_indent_0p28mm,1.5,1.1,1.5,4.0,247.58943684890028,351.10828713364737,1404.4331485345895,7.460056563157729,6.048510303279943,7.4821478999176,1.237023254446675,0.03668022534347448,-0.028156846167615702,0.0005798047678527975,429,candidate_not_approved
eyelid_1p50mm_indent_0p28mm,1.5,1.2,1.6,2.0,469.9464518228999,337.06038669442864,674.1207733888573,8.44619492612608,6.233144567484583,7.4821478999176,1.2003809343599194,0.03595478644549058,-0.027539463379146284,-0.0014032493648921918,477,candidate_not_approved
eyelid_1p50mm_indent_0p28mm,1.5,1.2,1.6,3.0,469.9464518228999,337.06038669442864,1011.1811600832859,7.9067610685434815,6.08679748897944,7.4821478999176,1.2292421283054902,0.03549634472995989,-0.0304283055657187,-1.2753953253621902e-05,451,candidate_not_approved
eyelid_1p50mm_indent_0p28mm,1.5,1.2,1.6,4.0,469.9464518228999,337.06038669442864,1348.2415467777146,7.132305320123316,5.813731776276036,7.4821478999176,1.2869785170430175,0.03460388845280639,-0.030713365527067323,-0.0002160252105231882,410,candidate_not_approved
eyelid_1p50mm_indent_0p28mm,1.5,1.3,1.7,2.0,683.0942382812002,314.97859924302236,629.9571984860447,8.292825015576707,6.035412471364019,7.4821478999176,1.2397077971750645,0.03407806141083654,-0.028935515277038023,-0.00034533063769740777,471,candidate_not_approved
eyelid_1p50mm_indent_0p28mm,1.5,1.3,1.7,3.0,683.0942382812002,314.97859924302236,944.9357977290671,7.501158191924866,5.8365613452534175,7.4821478999176,1.2819445316037765,0.0334709135611863,-0.03111595126013002,0.0010005996084244142,431,candidate_not_approved
eyelid_1p50mm_indent_0p28mm,1.5,1.3,1.7,4.0,683.0942382812002,314.97859924302236,1259.9143969720894,7.037816075250441,5.678295660289375,7.4821478999176,1.3176749411347664,0.03296641282666821,-0.031295789966527536,0.0017441219597115487,405,candidate_not_approved
eyelid_1p60mm_indent_0p28mm,1.6,1.1,1.5,2.0,266.02046712239985,349.32616284178425,698.6523256835685,9.005403491357814,6.662274962516607,7.7669408597991,1.16580911227735,0.036965659080319166,-0.028542659369261904,0.0006849013234460577,505,candidate_not_approved
eyelid_1p60mm_indent_0p28mm,1.6,1.1,1.5,3.0,266.02046712239985,349.32616284178425,1047.9784885253528,8.315800463343242,6.472386337160249,7.7669408597991,1.20001193612414,0.03639179127855772,-0.025464975024172873,-0.0008990507674606256,472,candidate_not_approved
eyelid_1p60mm_indent_0p28mm,1.6,1.1,1.5,4.0,266.02046712239985,349.32616284178425,1397.304651367137,7.552114682951592,6.169719707612383,7.7669408597991,1.258880666850395,0.03542350088160205,-0.03183204901511218,0.0005575814171536233,433,candidate_not_approved
eyelid_1p60mm_indent_0p28mm,1.6,1.2,1.6,2.0,467.6884765624998,342.41375751955604,684.8275150391121,8.536654813262608,6.392789690853423,7.7669408597991,1.2149532888453634,0.03488969306945183,-0.02883762653131959,-0.001709838302681914,481,candidate_not_approved
eyelid_1p60mm_indent_0p28mm,1.6,1.2,1.6,3.0,467.6884765624998,342.41375751955604,1027.2412725586682,8.109297002789624,6.267609656578201,7.7669408597991,1.2392189822554232,0.03451643307827065,-0.029641088916839368,0.00026819026635851474,463,candidate_not_approved
eyelid_1p60mm_indent_0p28mm,1.6,1.2,1.6,4.0,467.6884765624998,342.41375751955604,1369.6550300782242,7.248593981046273,5.943937442802087,7.7669408597991,1.3066996304284142,0.03350792971020829,-0.031096676161100147,-0.0014328852956162618,417,candidate_not_approved
eyelid_1p60mm_indent_0p28mm,1.6,1.3,1.7,2.0,708.1212158203,339.9939149413324,679.9878298826648,8.250935645826026,6.1345534909721655,7.7669408597991,1.2660971774440009,0.03267502366714115,-0.02789320030270213,-5.552207523875839e-05,469,candidate_not_approved
eyelid_1p60mm_indent_0p28mm,1.6,1.3,1.7,3.0,708.1212158203,339.9939149413324,1019.9817448239971,7.421894174797222,5.888771091706029,7.7669408597991,1.3189408687898156,0.03195592079450365,-0.03162494895059317,0.0012347171106032154,427,candidate_not_approved
eyelid_1p60mm_indent_0p28mm,1.6,1.3,1.7,4.0,708.1212158203,339.9939149413324,1359.9756597653295,6.931882277072534,5.6981078456867795,7.7669408597991,1.3630736851845193,0.03137049505556794,-0.03481724291442473,-0.0012411295346775142,400,candidate_not_approved
