case,eyelid_thickness_mm,surface,radius_start_mm,radius_end_mm,radius_center_mm,face_count,raw_downward_median_um,local_downward_p10_um,local_downward_median_um,local_downward_p90_um,above_threshold_fraction,threshold_um
eyelid_0p80mm_indent_0p28mm,0.8,inner,5.55,5.7,5.625,210,0.7617051309834981,0.19641967622329412,0.499302115683541,0.701802429076961,0.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,5.7,5.85,5.775,166,1.105895252100043,0.6934181991835772,0.843492236800086,0.923498741266498,0.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,5.85,6.0,5.925,260,1.7974541159997917,1.3921560154000947,1.5350511006998349,1.8746014030537623,0.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,inner,6.0,6.1499999999999995,6.074999999999999,8,3.529986489083509,2.21649073750994,3.2675834737835516,3.2902024746597145,0.0,4.574177945437284
eyelid_0p80mm_indent_0p28mm,0.8,outer,0.15,0.3,0.22499999999999998,8,325.66797274180504,320.1395819058243,320.1610337247383,320.2094136576935,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,0.3,0.44999999999999996,0.375,16,322.92068162487345,315.970820544645,317.4137426078067,318.8259195073431,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,0.44999999999999996,0.6,0.5249999999999999,28,318.05014285734,308.74205255199325,312.54320384027324,315.1547639852363,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,0.6,0.75,0.675,36,307.4211001750734,298.47344536677986,301.9141611580066,308.0871895471165,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,0.75,0.8999999999999999,0.825,52,294.4249518724433,282.4060173706036,288.9180128553765,294.87886003185054,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,0.8999999999999999,1.05,0.975,68,277.36313658452167,266.0173800005779,271.8561975674549,278.8939429779326,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,1.05,1.2,1.125,78,261.7943123022983,245.93247472619294,256.2873732852315,261.16789982980055,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,1.2,1.3499999999999999,1.275,82,239.6833376809367,223.89830892985026,234.17639866386995,242.0490802892163,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,1.3499999999999999,1.5,1.4249999999999998,86,217.15377091664163,205.16419894105485,211.64683189957492,219.7783189779281,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,1.5,1.65,1.575,90,197.12401348689338,183.29223800212395,191.6170744698266,200.3532016550489,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,1.65,1.7999999999999998,1.7249999999999999,92,177.76703678369148,166.52526018872794,172.26009776662477,181.26939387504027,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,1.7999999999999998,1.95,1.875,91,162.57130004096996,151.25726460383655,157.06436102390322,162.6875253922866,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,1.95,2.1,2.025,88,146.99611714397832,137.13816709361123,141.48917812691155,147.76316708561689,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,2.1,2.25,2.175,99,132.77081396756998,121.30436334309393,127.26387495050322,132.25600638342925,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,2.25,2.4,2.325,97,118.82816242416338,108.04496379183725,113.32122340709662,118.3995624935246,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,2.4,2.55,2.4749999999999996,102,104.66289783272666,94.93437648057386,99.15595881565989,105.61162556052686,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,2.55,2.6999999999999997,2.625,95,93.27818411360666,82.56320576796327,87.7712450965399,91.68120787345792,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,2.6999999999999997,2.85,2.775,102,81.58393746018164,71.50589330589249,76.07699844311489,80.53080717988527,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,2.85,3.0,2.925,109,70.67909536038667,60.839784917689904,65.17215634331991,69.73071483692856,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,3.0,3.15,3.075,106,60.86453525972334,51.27603159448494,55.357596242656584,58.997696504811564,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,3.15,3.3,3.2249999999999996,121,49.714099933216666,42.409358340229595,44.20716091614992,49.60800038211657,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,3.3,3.4499999999999997,3.375,111,41.707402859400666,34.425951207827914,36.20046384233392,40.87071588768559,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,3.4499999999999997,3.5999999999999996,3.5249999999999995,115,34.91425666493143,27.568545164044586,29.407317647864677,32.89599955155085,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,3.5999999999999996,3.75,3.675,118,28.522371488209334,20.73298731706238,23.01543247114258,25.41968551604391,1.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,3.75,3.9,3.825,112,22.62499792014616,14.927785797355558,17.118058903079408,19.219545258837933,0.7232142857142857,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,3.9,4.05,3.9749999999999996,120,17.553074985894177,9.934874940768264,12.046135968827423,13.11487345857558,0.0,15.888203838278455
