state,input_iop_mmhg,actual_indent_mm,probe_force_n,zero_reference_force_n,delta_force_n,delta_probe_pressure_mmhg,ksensor_delta,frozen_model_iop_calc_diagnostic_mmhg,frozen_model_iop_error_diagnostic_mmhg,outer_ae_lower_mm2,inner_ac_5deg_mm2,kgeo_5deg,source_kind,source_git_commit
sensitivity_0p28,2.5,0.27999999999999997,0.16250221522359,0.16191409653827,0.0005881186853200215,0.30095709252513564,8.306831977356381,0.5087791243977239,-1.9912208756022762,13.033944206460063,5.905639123354757,2.2070336392407266,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
sensitivity_0p28,5.0,0.27999999999999997,0.16499925271658,0.16191409653827,0.003085156178310011,1.5787623426807158,3.1670377895574022,2.905620632782059,-2.094379367217941,13.055715053950685,5.860570472309907,2.2277208533941333,reused_formal_matrix,440e44e523e87d8248b8eea0a614dc77138c0471
sensitivity_0p28,7.5,0.27999999999999997,0.16794273748658,0.16191409653827,0.006028640948310016,3.085027388126741,2.43109673154444,6.340574898085719,-1.1594251019142812,13.078877072997583,5.740375482723828,2.278400970870221,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
sensitivity_0p28,10.0,0.27999999999999997,0.17046943055013,0.16191409653827,0.00855533401186001,4.378008238914797,2.2841437142838177,10.00000086156098,8.615609807804958e-07,12.887659906890894,5.591276480477143,2.304958438719721,reused_formal_matrix,440e44e523e87d8248b8eea0a614dc77138c0471
sensitivity_0p28,12.5,0.27999999999999997,0.17233916273489,0.16191409653827,0.010425066196620009,5.334803484792495,2.343104115387337,13.279761173305541,0.7797611733055412,12.893844767543056,5.518336937253724,2.336545396584619,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
sensitivity_0p28,15.0,0.27999999999999997,0.17373215461815,0.16191409653827,0.011818058079880012,6.047637131404015,2.480307543934537,16.133631482274918,1.133631482274918,12.915053727452685,5.404523948172658,2.389674622835086,reused_formal_matrix,440e44e523e87d8248b8eea0a614dc77138c0471
sensitivity_0p28,17.5,0.27999999999999997,0.17482868078814,0.16191409653827,0.01291458424987002,6.60876082333083,2.648000202733916,18.685222393793183,1.1852223937931825,12.935877051665274,5.367411606143512,2.410077333524959,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
sensitivity_0p28,20.0,0.27999999999999997,0.17573431824117,0.16191409653827,0.01382022170290001,7.072201318504799,2.827973794760185,21.03476339782015,1.03476339782015,12.956443846627105,5.344842095422948,2.4241022681890545,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,22.5,0.27999999999999997,0.17651374763823,0.16191409653827,0.014599651099960004,7.4710575545384375,3.0116218267294625,23.261579300040772,0.761579300040772,12.976823027409864,5.3489916026979225,2.4260316693831823,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
sensitivity_0p28,25.0,0.27999999999999997,0.1772106201693,0.16191409653827,0.015296523631030012,7.827667089393361,3.1937995975678986,25.436825539248943,0.4368255392489431,12.997150537482145,5.2956892835676275,2.4542887321225457,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,27.5,0.27999999999999997,0.17786670710896,0.16191409653827,0.01595261057069,8.16340547474383,3.368692157345395,27.665945868530414,0.1659458685304145,12.966196879353422,5.2725423512108955,2.459192551838981,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
sensitivity_0p28,30.0,0.27999999999999997,0.17849819166578,0.16191409653827,0.016584095127509996,8.486554119632837,3.535003674883525,29.999902301389806,-9.769861019393034e-05,12.986023718220407,5.219701684224896,2.4878861865740474,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,32.5,0.27999999999999997,0.17909733720823,0.16191409653827,0.01718324066996002,8.793153969214279,3.696057195607604,32.40812961758694,-0.09187038241306311,13.005747882762545,5.138761892726089,2.530910782453681,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
sensitivity_0p28,35.0,0.27999999999999997,0.17965713471199,0.16191409653827,0.01774303817372,9.079618305988,3.8547875935398666,34.85133196475416,-0.1486680352458407,13.02525639354491,5.061779071089094,2.5732565982462745,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,37.5,0.27999999999999997,0.18019503411647,0.16191409653827,0.018280937578200013,9.354876761269383,4.008604384320242,37.39773713599049,-0.10226286400951068,13.044881081891454,4.973765308463536,2.622737558544192,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
sensitivity_0p28,40.0,0.27999999999999997,0.18075910336111,0.16191409653827,0.018845006822840016,9.64352706959504,4.147859980205325,40.30533042590746,0.3053304259074565,13.064304407254397,4.978204699133277,2.624300364653333,reused_formal_matrix,bdca48fe1704b1cb1bf9f863a7275b0866b34f97
sensitivity_0p28,42.5,0.27999999999999997,0.18128548110263,0.16191409653827,0.019371384564359995,9.912889561575035,4.287347270037302,43.26781571813532,0.7678157181353171,13.08376058469767,4.967382761992851,2.6339344503117434,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
sensitivity_0p28,45.0,0.27999999999999997,0.18180548433475,0.16191409653827,0.019891387796480003,10.17899003542302,4.420870817576145,46.46414416951135,1.46414416951135,13.103153628180502,4.872177502586241,2.689383467910418,reused_formal_matrix,440e44e523e87d8248b8eea0a614dc77138c0471
sensitivity_0p28,47.5,0.27999999999999997,0.18231463528024,0.16191409653827,0.02040053874197001,10.439537084914765,4.550010178960711,49.890765675947065,2.3907656759470655,13.1225004162826,4.749396338621538,2.7629828046928733,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
