record_type,source_file,case_id,state,eyelid_thickness_mm,cornea_thickness_mm,p_iop_mmhg,p_iop_pa,p_probe_delta_mmhg,p_probe_delta_pa,p_probe_absolute_mmhg,probe_force_n,probe_force_delta_n,probe_displacement_mm,eyelid_modulus_scale,cornea_modulus_scale,corneal_radius_mm,probe_area_mm2,corneal_applanation_area_mm2,contact_force_n,eyelid_displacement_mm,corneal_displacement_mm,tangent_stiffness_n_per_mm,source_status,assumption_note
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_5.0,sensitivity_0p28,1.25,0.6,5.0,666.61,1.5787623426807158,210.4837530508784,,0.16499925271658,0.00308515617831,0.2799999999999999,,,7.8,14.65741468458854,5.860570472309907,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_7.5,sensitivity_0p28,1.25,0.6,7.5,999.915,3.085027388126741,411.30202143983337,,0.16794273748658,0.00602864094831,0.2799999999999999,,,7.8,14.65741468458854,5.740375482723828,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_10.0,sensitivity_0p28,1.25,0.6,10.0,1333.22,4.378008238914797,583.6848144285985,,0.17046943055013,0.00855533401186,0.2799999999999999,,,7.8,14.65741468458854,5.591276480477143,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_12.5,sensitivity_0p28,1.25,0.6,12.5,1666.525,5.334803484792495,711.246670199505,,0.17233916273489,0.01042506619662,0.2799999999999999,,,7.8,14.65741468458854,5.518336937253724,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_15.0,sensitivity_0p28,1.25,0.6,15.0,1999.83,6.047637131404015,806.2830776330461,,0.17373215461815,0.01181805807988,0.2799999999999999,,,7.8,14.65741468458854,5.404523948172658,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_17.5,sensitivity_0p28,1.25,0.6,17.5,2333.135,6.60876082333083,881.093210488113,,0.17482868078814,0.01291458424987,0.2799999999999999,,,7.8,14.65741468458854,5.367411606143512,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_20.0,sensitivity_0p28,1.25,0.6,20.0,2666.44,7.072201318504799,942.8800241856968,,0.17573431824117,0.0138202217029,0.2799999999999999,,,7.8,14.65741468458854,5.344842095422948,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_22.5,sensitivity_0p28,1.25,0.6,22.5,2999.745,7.471057554538437,996.0563352861734,,0.17651374763823,0.01459965109996,0.2799999999999999,,,7.8,14.65741468458854,5.3489916026979225,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_25.0,sensitivity_0p28,1.25,0.6,25.0,3333.05,7.827667089393361,1043.6002316921017,,0.1772106201693,0.01529652363103,0.2799999999999999,,,7.8,14.65741468458854,5.295689283567628,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_27.5,sensitivity_0p28,1.25,0.6,27.5,3666.355,8.16340547474383,1088.3615447037969,,0.17786670710896,0.01595261057069,0.2799999999999999,,,7.8,14.65741468458854,5.272542351210896,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
