bootstrap_id,c_n_per_mm_per_mm_power,exponent_m_for_k_proportional_h_to_m,n_for_k_proportional_h_to_minus_n
209,0.8311088639449367,0.9907283914033521,-0.9907283914033521
210,0.8288540645364292,0.9965435693980074,-0.9965435693980074
211,0.8315306199687538,0.9919367280212367,-0.9919367280212367
212,0.828162192712472,1.0077813215975424,-1.0077813215975424
213,0.8307052284698774,0.9941996615423087,-0.9941996615423087
214,0.8309125790859161,0.9940826233518772,-0.9940826233518772
215,0.8316377956823097,0.9904197415576723,-0.9904197415576723
216,0.8296951617572144,0.9936303870800584,-0.9936303870800584
217,0.8312901494788317,0.9917924654525125,-0.9917924654525125
218,0.8312717142593368,0.993653660435456,-0.993653660435456
219,0.8284698294141596,0.9997876191590587,-0.9997876191590587
220,0.8310399720605319,0.9908726703186419,-0.9908726703186419
221,0.8306466045538741,0.992443911347503,-0.992443911347503
222,0.8318063524785734,0.9914342290848156,-0.9914342290848156
223,0.8308145499613321,0.9933275504858279,-0.9933275504858279
224,0.8308583089294346,0.9912525250998686,-0.9912525250998686
225,0.8334900956899363,0.9885608463177784,-0.9885608463177784
226,0.8330381127649742,0.9901952398000797,-0.9901952398000797
227,0.8326140093570686,0.9912354927823467,-0.9912354927823467
228,0.8324044483262824,0.9891827269266926,-0.9891827269266926
229,0.8292568440394104,1.001042003095264,-1.001042003095264
230,0.8296525601319253,0.999778259112619,-0.999778259112619
231,0.8315099675707254,0.9942567339296697,-0.9942567339296697
232,0.8328152737745967,0.9887399464001618,-0.9887399464001618
233,0.8338385653869665,0.9883320948090899,-0.9883320948090899
234,0.8344607038584793,0.9846354894003883,-0.9846354894003883
235,0.8300063824178515,0.9965430360307024,-0.9965430360307024
236,0.8328090887631807,0.992111939482544,-0.992111939482544
237,0.8315093822846922,0.9922414261520693,-0.9922414261520693
238,0.8307254343325492,0.9941420261544168,-0.9941420261544168
239,0.8324637567400067,0.9933034415071034,-0.9933034415071034
240,0.8316046143976045,0.9899972170362835,-0.9899972170362835
241,0.8329071923767426,0.9916709931971173,-0.9916709931971173
242,0.831241607024373,0.9923653856956217,-0.9923653856956217
243,0.8298427334337597,0.9956653879065962,-0.9956653879065962
244,0.8289666298280691,0.9998521968907285,-0.9998521968907285
245,0.832452322698664,0.9893241881210089,-0.9893241881210089
246,0.8301872622120946,0.9957365492206135,-0.9957365492206135
247,0.8303289934366992,0.9938649802538866,-0.9938649802538866
248,0.8314778617155199,0.9963805254380111,-0.9963805254380111
249,0.8346273985662298,0.9847311939237059,-0.9847311939237059
250,0.8304045771854158,0.9933362379986381,-0.9933362379986381
251,0.8317328302829824,0.9898111455423166,-0.9898111455423166
252,0.8331535528210746,0.9882806323906679,-0.9882806323906679
253,0.8300463855712817,0.9945988940485659,-0.9945988940485659
254,0.8318335474915224,0.9917360370083086,-0.9917360370083086
255,0.832314446811286,0.9891825007477656,-0.9891825007477656
256,0.8308555916499053,0.9931195132588061,-0.9931195132588061
257,0.8318402301516775,0.9922176351618219,-0.9922176351618219
258,0.8315306199687539,0.9919367280212361,-0.9919367280212361
259,0.8329903808051924,0.9901615651379083,-0.9901615651379083
260,0.830034319763286,0.9940291479586236,-0.9940291479586236
261,0.83035902627202,0.9967017426618681,-0.9967017426618681
262,0.829540251189674,1.0001555552973451,-1.0001555552973451
263,0.8327453793081001,0.9933260334673164,-0.9933260334673164
264,0.8328507084951704,0.9887091239659873,-0.9887091239659873
265,0.8307864787466115,0.9904834692089513,-0.9904834692089513
266,0.8295416856158724,0.9963396999762753,-0.9963396999762753
267,0.8305929677642432,0.9929897411197259,-0.9929897411197259
268,0.8305249976314988,0.9936309158106634,-0.9936309158106634
269,0.8322345143455969,0.993659284091206,-0.993659284091206
270,0.8326112624850842,0.9907445370249222,-0.9907445370249222
271,0.833256906497729,0.9889280310175876,-0.9889280310175876
272,0.8319696698325049,0.9913676908433242,-0.9913676908433242
273,0.8286568281517487,1.0074086691283004,-1.0074086691283004
274,0.832921324655233,0.9887907009870225,-0.9887907009870225
275,0.828724921144167,0.9980933850503826,-0.9980933850503826
276,0.8285434381515702,1.0024128087686437,-1.0024128087686437
277,0.8316412647908422,0.9905583022419928,-0.9905583022419928
278,0.8301972595195433,0.9932519649437814,-0.9932519649437814
279,0.8328617626819879,0.9895383477051729,-0.9895383477051729
280,0.8307809413653555,0.9979436188502414,-0.9979436188502414
281,0.8331517822024371,0.9902149541574337,-0.9902149541574337
282,0.8307288694314451,0.9942731246170602,-0.9942731246170602
283,0.8306466045538741,0.9924439113475033,-0.9924439113475033
284,0.8313774611701668,0.9912153115984776,-0.9912153115984776
285,0.8325995026401344,0.990295117051707,-0.990295117051707
286,0.8313413951621067,0.9910405989042805,-0.9910405989042805
287,0.831682960563591,0.9923011025393516,-0.9923011025393516
288,0.8291632787246419,0.9955264720638928,-0.9955264720638928
289,0.8315763602116366,0.9909868866155291,-0.9909868866155291
290,0.8297706879198377,0.993147188140561,-0.993147188140561
291,0.8328108050053602,0.9910344498102006,-0.9910344498102006
292,0.8297706879198377,0.9931471881405614,-0.9931471881405614
293,0.8414184966488932,0.971625853781219,-0.971625853781219
294,0.8349755850483584,0.9844639380190576,-0.9844639380190576
295,0.8311049273911453,0.991248975303684,-0.991248975303684
296,0.8285793870527659,0.9970292550402948,-0.9970292550402948
297,0.8326725468776423,0.9895088533859981,-0.9895088533859981
298,0.8317174835450935,0.9899192414173613,-0.9899192414173613
