source_id,pair_id,treatment,source_ogden_mu_mpa,source_ogden_alpha,fit_range,fit_end_strain,strategy,c10_mpa,c01_mpa,c01_over_c10,c10_over_current_model,equivalent_base_material_scale,mr_small_strain_e_mpa,ogden_small_strain_e_mpa,rmse_mpa,nrmse_span_percent,r_squared,max_abs_error_mpa,stability_flag,parameter_use
PORCINE_DRYAD_2020,2,CXL,0.0139,73.31,stress_0_to_0p03mpa,0.061455355,mr_free_nonnegative,0.043683089,0,0,0.52949199,0.39711899,0.26209854,0.0417,0.0043556134,14.518711,0.6828767,0.013873538,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,2,CXL,0.0139,73.31,stress_0_to_0p03mpa,0.061455355,mr_fixed_current_ratio,0.03585344,0.0081485091,0.22727273,0.43458715,0.32594036,0.26401169,0.0417,0.0043736603,14.578868,0.68024334,0.01392999,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,2,CXL,0.0139,73.31,stress_0_to_0p03mpa,0.061455355,mr_small_strain_conversion,0.005662963,0.001287037,0.22727273,0.068641975,0.051481481,0.0417,0.0417,0.0089737676,29.912559,-0.34610561,0.027461781,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,2,CXL,0.0139,73.31,stress_0_to_0p03mpa,0.061455355,mr_free_unconstrained,1.7184833,-1.7519053,-1.0194485,20.830101,15.622575,-0.20053173,0.0417,0.0014434115,4.8113715,0.9651735,0.0048933181,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,3,control_PBS,0.0091,64.69,strain_0_to_0p03,0.03,mr_free_nonnegative,0.0079756989,0,0,0.096675138,0.072506354,0.047854193,0.0273,0.00013567082,7.5545367,0.92772018,0.00035984138,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,3,control_PBS,0.0091,64.69,strain_0_to_0p03,0.03,mr_fixed_current_ratio,0.0065242124,0.0014827755,0.22727273,0.079081362,0.059311021,0.048041927,0.0273,0.00013652193,7.6019293,0.92681045,0.00036198376,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,3,control_PBS,0.0091,64.69,strain_0_to_0p03,0.03,mr_small_strain_conversion,0.0037074074,0.00084259259,0.22727273,0.044938272,0.033703704,0.0273,0.0273,0.0003832952,21.342966,0.42308615,0.00098106555,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,3,control_PBS,0.0091,64.69,strain_0_to_0p03,0.03,mr_free_unconstrained,0.23291195,-0.22999845,-0.98749098,2.8231752,2.1173814,0.017481001,0.0273,2.232529e-05,1.2431356,0.99804279,6.5134209e-05,conditional_negative_c01,reject_if_not_positive_stable
PORCINE_DRYAD_2020,3,control_PBS,0.0091,64.69,stress_0_to_0p03mpa,0.074864843,mr_free_nonnegative,0.034375833,0,0,0.41667676,0.31250757,0.206255,0.0273,0.0044778946,14.926315,0.65738373,0.014531913,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,3,control_PBS,0.0091,64.69,stress_0_to_0p03mpa,0.074864843,mr_fixed_current_ratio,0.028255082,0.0064216095,0.22727273,0.34248584,0.25686438,0.20806015,0.0273,0.0044985054,14.995018,0.6542225,0.014597793,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,3,control_PBS,0.0091,64.69,stress_0_to_0p03mpa,0.074864843,mr_small_strain_conversion,0.0037074074,0.00084259259,0.22727273,0.044938272,0.033703704,0.0273,0.0273,0.0089617588,29.872529,-0.37229269,0.027979045,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,3,control_PBS,0.0091,64.69,stress_0_to_0p03mpa,0.074864843,mr_free_unconstrained,1.194548,-1.2252034,-1.0256628,14.47937,10.859528,-0.18393236,0.0273,0.0015679665,5.226555,0.95799182,0.0053953798,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,3,CXL,0.0126,80.93,strain_0_to_0p03,0.03,mr_free_nonnegative,0.013594509,0,0,0.16478192,0.12358644,0.081567051,0.0378,0.00031339485,9.4636712,0.88323122,0.00086383251,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,3,CXL,0.0126,80.93,strain_0_to_0p03,0.03,mr_fixed_current_ratio,0.011119816,0.0025272309,0.22727273,0.13478565,0.10108924,0.081882281,0.0378,0.00031483631,9.5071994,0.88215459,0.0008676263,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,3,CXL,0.0126,80.93,strain_0_to_0p03,0.03,mr_small_strain_conversion,0.0051333333,0.0011666667,0.22727273,0.062222222,0.046666667,0.0378,0.0378,0.00082372449,24.874237,0.19330938,0.0021833448,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,3,CXL,0.0126,80.93,strain_0_to_0p03,0.03,mr_free_unconstrained,0.52988363,-0.52790822,-0.99627201,6.4228318,4.8171239,0.011852417,0.0378,6.2221923e-05,1.8789327,0.99539712,0.00018740039,conditional_negative_c01,reject_if_not_positive_stable
PORCINE_DRYAD_2020,3,CXL,0.0126,80.93,stress_0_to_0p03mpa,0.058080192,mr_free_nonnegative,0.044822081,0,0,0.54329795,0.40747346,0.26893248,0.0378,0.0044436357,14.812119,0.66423047,0.014363751,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,3,CXL,0.0126,80.93,stress_0_to_0p03mpa,0.058080192,mr_fixed_current_ratio,0.036772643,0.0083574188,0.22727273,0.445729,0.33429675,0.27078037,0.0378,0.0044601627,14.867209,0.6617282,0.014416349,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,3,CXL,0.0126,80.93,stress_0_to_0p03mpa,0.058080192,mr_small_strain_conversion,0.0051333333,0.0011666667,0.22727273,0.062222222,0.046666667,0.0378,0.0378,0.0089535691,29.84523,-0.36319117,0.027824576,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,3,CXL,0.0126,80.93,stress_0_to_0p03mpa,0.058080192,mr_free_unconstrained,1.9456711,-1.9835665,-1.0194768,23.583892,17.687919,-0.22737237,0.0378,0.0015256801,5.0856005,0.96041858,0.0052362059,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,4,control_PBS,0.0144,75.52,strain_0_to_0p03,0.03,mr_free_nonnegative,0.014459094,0,0,0.17526174,0.13144631,0.086754563,0.0432,0.00030363921,8.8531076,0.89883764,0.00082635227,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,4,control_PBS,0.0144,75.52,strain_0_to_0p03,0.03,mr_fixed_current_ratio,0.011827248,0.0026880109,0.22727273,0.14336058,0.10752043,0.087091552,0.0432,0.00030517581,8.8979097,0.89781117,0.00083033624,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,4,control_PBS,0.0144,75.52,strain_0_to_0p03,0.03,mr_small_strain_conversion,0.0058666667,0.0013333333,0.22727273,0.071111111,0.053333333,0.0432,0.0432,0.00081702481,23.821721,0.26755721,0.0021403621,positive_coefficients,initial_tangent_only
