source_id,treatment,fit_range,strategy,metric,n,mean,sd,ci95_low,ci95_high
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_fixed_current_ratio,nrmse_span_percent,7,10.529342,2.3485743,8.7894943,12.269191
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_fixed_current_ratio,fit_end_strain,7,0.03,0,0.03,0.03
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_small_strain_conversion,c10_mpa,7,0.0072227513,0.0049353903,0.0035665631,0.01087894
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_small_strain_conversion,c01_mpa,7,0.0016415344,0.0011216796,0.00081058251,0.0024724863
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_small_strain_conversion,c10_over_current_model,7,0.087548501,0.059822912,0.043231067,0.13186593
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_small_strain_conversion,equivalent_base_material_scale,7,0.065661376,0.044867184,0.032423301,0.098899451
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_small_strain_conversion,mr_small_strain_e_mpa,7,0.053185714,0.036342419,0.026262873,0.080108555
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_small_strain_conversion,nrmse_span_percent,7,25.819218,2.7613608,23.773574,27.864863
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_small_strain_conversion,fit_end_strain,7,0.03,0,0.03,0.03
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_unconstrained,c10_mpa,7,1.3993183,1.5069093,0.28298432,2.5156524
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_unconstrained,c01_mpa,7,-1.4043813,1.5196194,-2.5301311,-0.27863143
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_unconstrained,c10_over_current_model,7,16.961434,18.265567,3.430113,30.492756
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_unconstrained,equivalent_base_material_scale,7,12.721076,13.699175,2.5725847,22.869567
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_unconstrained,mr_small_strain_e_mpa,7,-0.030377572,0.085812342,-0.093948245,0.0331931
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_unconstrained,nrmse_span_percent,7,2.4730838,1.2506907,1.5465591,3.3996084
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_unconstrained,fit_end_strain,7,0.03,0,0.03,0.03
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_nonnegative,c10_mpa,7,0.054218617,0.017130179,0.041528402,0.066908831
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_nonnegative,c01_mpa,7,0,0,0,0
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_nonnegative,c10_over_current_model,7,0.65719535,0.20763853,0.50337457,0.81101613
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_nonnegative,equivalent_base_material_scale,7,0.49289651,0.1557289,0.37753093,0.6082621
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_nonnegative,mr_small_strain_e_mpa,7,0.3253117,0.10278107,0.24917041,0.40145299
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_nonnegative,nrmse_span_percent,7,14.582127,1.0332542,13.816681,15.347572
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_nonnegative,fit_end_strain,7,0.051657612,0.011811069,0.04290785,0.060407374
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_fixed_current_ratio,c10_mpa,7,0.044434646,0.013974392,0.034082272,0.05478702
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_fixed_current_ratio,c01_mpa,7,0.010098783,0.0031759981,0.0077459708,0.012451595
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_fixed_current_ratio,c10_over_current_model,7,0.53860177,0.16938656,0.41311844,0.66408509
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_fixed_current_ratio,equivalent_base_material_scale,7,0.40395133,0.12703992,0.30983883,0.49806382
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_fixed_current_ratio,mr_small_strain_e_mpa,7,0.32720057,0.10290234,0.25096945,0.40343169
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_fixed_current_ratio,nrmse_span_percent,7,14.632032,1.0297037,13.869217,15.394847
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_fixed_current_ratio,fit_end_strain,7,0.051657612,0.011811069,0.04290785,0.060407374
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_small_strain_conversion,c10_mpa,7,0.0072227513,0.0049353903,0.0035665631,0.01087894
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_small_strain_conversion,c01_mpa,7,0.0016415344,0.0011216796,0.00081058251,0.0024724863
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_small_strain_conversion,c10_over_current_model,7,0.087548501,0.059822912,0.043231067,0.13186593
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_small_strain_conversion,equivalent_base_material_scale,7,0.065661376,0.044867184,0.032423301,0.098899451
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_small_strain_conversion,mr_small_strain_e_mpa,7,0.053185714,0.036342419,0.026262873,0.080108555
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_small_strain_conversion,nrmse_span_percent,7,29.542107,0.27461892,29.338667,29.745548
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_small_strain_conversion,fit_end_strain,7,0.051657612,0.011811069,0.04290785,0.060407374
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_unconstrained,c10_mpa,7,2.8475216,1.6143945,1.6515614,4.0434817
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_unconstrained,c01_mpa,7,-2.8894829,1.625047,-4.0933346,-1.6856312
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_unconstrained,c10_over_current_model,7,34.515413,19.568418,20.018926,49.011899
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_unconstrained,equivalent_base_material_scale,7,25.88656,14.676313,15.014195,36.758925
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_unconstrained,mr_small_strain_e_mpa,7,-0.2517681,0.092078185,-0.31998057,-0.18355562
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_unconstrained,nrmse_span_percent,7,4.9759195,0.93233317,4.2852374,5.6666015
PORCINE_DRYAD_2020,CXL,stress_0_to_0p03mpa,mr_free_unconstrained,fit_end_strain,7,0.051657612,0.011811069,0.04290785,0.060407374
