source_id,cycle,age_year,strain,stress_mpa,tangent_modulus_mpa,coefficient_a_mpa,coefficient_b
AGE_INFLATION_2010,first_loading,50,0.0225,0.0083219079,0.87350748,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.023,0.0087688177,0.91444443,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0235,0.009236672,0.95729988,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.024,0.0097264523,1.0021638,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0245,0.010239186,1.0491302,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.025,0.010775949,1.0982977,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0255,0.011337868,1.1497694,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.026,0.011926121,1.2036534,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0265,0.012541942,1.2600626,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.027,0.013186624,1.3191155,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0275,0.013861519,1.3809358,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.028,0.014568043,1.4456534,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0285,0.015307678,1.513404,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.029,0.016081976,1.5843297,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0295,0.016892561,1.6585793,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.03,0.017741135,1.7363087,0.0012142,91.6
AGE_INFLATION_2010,first_loading,60,0,0,0.13042924,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0005,6.6731098e-05,0.13654181,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.001,0.00013658955,0.14294084,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0015,0.00020972192,0.14963977,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.002,0.00028628164,0.15665264,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0025,0.00036642933,0.16399417,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.003,0.00045033314,0.17167976,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0035,0.00053816911,0.17972553,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.004,0.00063012151,0.18814837,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0045,0.00072638327,0.19696595,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.005,0.00082715633,0.20619676,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0055,0.00093265212,0.21586017,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.006,0.001043092,0.22597647,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0065,0.0011587076,0.23656686,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.007,0.0012797415,0.24765357,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0075,0.0014064478,0.25925985,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.008,0.0015390921,0.27141007,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0085,0.0016779527,0.28412971,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.009,0.0018233211,0.29744545,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0095,0.0019755022,0.31138524,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.01,0.0021348152,0.32597831,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0105,0.0023015945,0.34125529,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.011,0.0024761898,0.35724823,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0115,0.0026589676,0.37399067,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.012,0.0028503113,0.39151775,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0125,0.0030506222,0.40986624,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.013,0.0032603208,0.42907463,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0135,0.0034798469,0.44918322,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.014,0.0037096611,0.47023419,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0145,0.0039502455,0.49227173,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.015,0.0042021049,0.51534205,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0155,0.0044657677,0.53949357,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.016,0.0047417871,0.56477694,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0165,0.0050307422,0.59124522,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.017,0.0053332391,0.61895394,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0175,0.0056499125,0.64796123,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.018,0.0059814268,0.67832794,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0185,0.0063284776,0.71011779,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.019,0.0066917929,0.74339747,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0195,0.007072135,0.77823681,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.02,0.0074703018,0.81470889,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0205,0.0078871288,0.85289023,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.021,0.0083234903,0.89286095,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0215,0.0087803019,0.93470489,0.0014239,91.6
