case,eyelid_thickness_mm,indent_mm,angle_deg,outer_flat_area_mm2,outer_coverage_fraction,outer_selected_faces,inner_flat_area_mm2,inner_selected_faces,ae_over_ac,image,multiview_image
eyelid_1p60mm_indent_0p28mm,1.6,0.28,2.0,7.155443234737252,0.48817908128510584,441,1.9446368980503266,88,3.6795780445754303,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_1p60mm_indent_0p28mm_flat_region_2deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_1p60mm_indent_0p28mm_flat_region_2deg_multiview.png
eyelid_0p80mm_indent_0p28mm,0.8,0.28,3.0,7.018338050978614,0.47882509992420486,453,6.080537469260255,350,1.1542298828778454,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_0p80mm_indent_0p28mm_flat_region_3deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_0p80mm_indent_0p28mm_flat_region_3deg_multiview.png
eyelid_1p00mm_indent_0p28mm,1.0,0.28,3.0,7.100269165680335,0.48441483839205807,439,5.2335664513211775,303,1.3566788979793925,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_1p00mm_indent_0p28mm_flat_region_3deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_1p00mm_indent_0p28mm_flat_region_3deg_multiview.png
eyelid_1p20mm_indent_0p28mm,1.2,0.28,3.0,7.364774577260859,0.5024606818966862,469,4.453543004284774,256,1.6536888877406541,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_1p20mm_indent_0p28mm_flat_region_3deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_1p20mm_indent_0p28mm_flat_region_3deg_multiview.png
eyelid_1p25mm_indent_0p28mm,1.25,0.28,3.0,7.456572314493169,0.5087235692617296,469,4.316888344243331,248,1.72730256608019,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_1p25mm_indent_0p28mm_flat_region_3deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_1p25mm_indent_0p28mm_flat_region_3deg_multiview.png
eyelid_1p40mm_indent_0p28mm,1.4,0.28,3.0,7.717642194529038,0.5265350241228907,470,3.8440983646739295,216,2.0076599145983813,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_1p40mm_indent_0p28mm_flat_region_3deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_1p40mm_indent_0p28mm_flat_region_3deg_multiview.png
eyelid_1p50mm_indent_0p28mm,1.5,0.28,3.0,7.612371562032232,0.5193529504242123,479,3.305466857697987,184,2.3029641166433255,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_1p50mm_indent_0p28mm_flat_region_3deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_1p50mm_indent_0p28mm_flat_region_3deg_multiview.png
eyelid_1p60mm_indent_0p28mm,1.6,0.28,3.0,7.858625978237698,0.536153622405226,483,3.051515488803331,167,2.575319052802679,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_1p60mm_indent_0p28mm_flat_region_3deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_3deg/eyelid_1p60mm_indent_0p28mm_flat_region_3deg_multiview.png
eyelid_0p80mm_indent_0p28mm,0.8,0.28,4.0,7.7054286896885875,0.5257017595190522,495,7.02484601887357,401,1.09688221905313,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_0p80mm_indent_0p28mm_flat_region_4deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_0p80mm_indent_0p28mm_flat_region_4deg_multiview.png
eyelid_1p00mm_indent_0p28mm,1.0,0.28,4.0,7.743140095164342,0.5282746147112714,476,6.3488880402797605,366,1.2196057082813423,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_1p00mm_indent_0p28mm_flat_region_4deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_1p00mm_indent_0p28mm_flat_region_4deg_multiview.png
